Transaction_ID,Date,Product_ID,Product,Category,Unit_Price,Region,Quantity,Discount_Pct,Sales_Amount,Customer_Segment,Payment_Method
TXN-10001,2023-02-21,PROD-102,AI Analytics License,Software,850.0,Europe,8,0.1,6120.0,Small & Medium Business,Wire Transfer
TXN-10002,2023-06-28,PROD-102,AI Analytics License,Software,850.0,North America,5,0.15,3612.5,Enterprise,Credit Card
TXN-10003,2024-04-21,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,North America,5,0.2,2400.0,Small & Medium Business,PayPal
TXN-10004,2025-07-08,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,North America,5,0.1,2700.0,Small & Medium Business,PayPal
TXN-10005,2024-07-23,PROD-106,Smart Conference Hub,Electronics,950.0,Asia-Pacific,2,0.05,1805.0,Enterprise,Credit Card
TXN-10006,2023-07-18,PROD-107,Cybersecurity Gateway,Software,1100.0,Middle East & Africa,3,0.1,2970.0,Consumer,Credit Card
TXN-10007,2023-09-13,PROD-108,Standing Executive Desk,Furniture,750.0,Middle East & Africa,4,0.0,3000.0,Consumer,Corporate Invoice
TXN-10008,2024-01-29,PROD-110,Server Rack Server X1,Hardware,3200.0,North America,8,0.0,25600.0,Small & Medium Business,Corporate Invoice
TXN-10009,2024-04-21,PROD-102,AI Analytics License,Software,850.0,Latin America,10,0.0,8500.0,Consumer,PayPal
TXN-10010,2023-11-30,PROD-106,Smart Conference Hub,Electronics,950.0,Europe,8,0.1,6840.0,Consumer,Credit Card
TXN-10011,2023-12-17,PROD-110,Server Rack Server X1,Hardware,3200.0,Europe,15,0.05,45600.0,Government,PayPal
TXN-10012,2024-03-25,PROD-105,Ergonomic Desk Chair,Furniture,350.0,North America,8,0.1,2520.0,Small & Medium Business,Credit Card
TXN-10013,2025-04-01,PROD-106,Smart Conference Hub,Electronics,950.0,Europe,3,0.0,2850.0,Consumer,Wire Transfer
TXN-10014,2025-03-21,PROD-108,Standing Executive Desk,Furniture,750.0,Europe,8,0.15,5100.0,Consumer,Wire Transfer
TXN-10015,2024-06-22,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Latin America,8,0.2,3840.0,Government,Corporate Invoice
TXN-10016,2023-10-11,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,North America,5,0.15,2550.0,Enterprise,Credit Card
TXN-10017,2023-11-24,PROD-103,Pro Workstation Laptop,Hardware,1500.0,Middle East & Africa,20,0.15,25500.0,Enterprise,PayPal
TXN-10018,2025-08-16,PROD-107,Cybersecurity Gateway,Software,1100.0,Middle East & Africa,5,0.1,4950.0,Enterprise,Credit Card
TXN-10019,2024-06-30,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,North America,10,0.1,2250.0,Consumer,PayPal
TXN-10020,2025-07-18,PROD-103,Pro Workstation Laptop,Hardware,1500.0,Middle East & Africa,1,0.1,1350.0,Small & Medium Business,Credit Card
