Transaction_ID,Date,Product_ID,Product,Category,Unit_Price,Region,Quantity,Discount_Pct,Sales_Amount,Customer_Segment,Payment_Method,Year,Month,Month_Name,Year_Month,Quarter,Day_Of_Week
TXN-10001,2023-02-21,PROD-102,AI Analytics License,Software,850.0,Europe,8,0.1,6120.0,Small & Medium Business,Wire Transfer,2023,2,Feb,2023-02,Q1,Tuesday
TXN-10002,2023-06-28,PROD-102,AI Analytics License,Software,850.0,North America,5,0.15,3612.5,Enterprise,Credit Card,2023,6,Jun,2023-06,Q2,Wednesday
TXN-10003,2024-04-21,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,North America,5,0.2,2400.0,Small & Medium Business,PayPal,2024,4,Apr,2024-04,Q2,Sunday
TXN-10004,2025-07-08,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,North America,5,0.1,2700.0,Small & Medium Business,PayPal,2025,7,Jul,2025-07,Q3,Tuesday
TXN-10005,2024-07-23,PROD-106,Smart Conference Hub,Electronics,950.0,Asia-Pacific,2,0.05,1805.0,Enterprise,Credit Card,2024,7,Jul,2024-07,Q3,Tuesday
TXN-10006,2023-07-18,PROD-107,Cybersecurity Gateway,Software,1100.0,Middle East & Africa,3,0.1,2970.0,Consumer,Credit Card,2023,7,Jul,2023-07,Q3,Tuesday
TXN-10007,2023-09-13,PROD-108,Standing Executive Desk,Furniture,750.0,Middle East & Africa,4,0.0,3000.0,Consumer,Corporate Invoice,2023,9,Sep,2023-09,Q3,Wednesday
TXN-10008,2024-01-29,PROD-110,Server Rack Server X1,Hardware,3200.0,North America,8,0.0,25600.0,Small & Medium Business,Corporate Invoice,2024,1,Jan,2024-01,Q1,Monday
TXN-10009,2024-04-21,PROD-102,AI Analytics License,Software,850.0,Latin America,10,0.0,8500.0,Consumer,PayPal,2024,4,Apr,2024-04,Q2,Sunday
TXN-10010,2023-11-30,PROD-106,Smart Conference Hub,Electronics,950.0,Europe,8,0.1,6840.0,Consumer,Credit Card,2023,11,Nov,2023-11,Q4,Thursday
TXN-10011,2023-12-17,PROD-110,Server Rack Server X1,Hardware,3200.0,Europe,15,0.05,45600.0,Government,PayPal,2023,12,Dec,2023-12,Q4,Sunday
TXN-10012,2024-03-25,PROD-105,Ergonomic Desk Chair,Furniture,350.0,North America,8,0.1,2520.0,Small & Medium Business,Credit Card,2024,3,Mar,2024-03,Q1,Monday
TXN-10013,2025-04-01,PROD-106,Smart Conference Hub,Electronics,950.0,Europe,3,0.0,2850.0,Consumer,Wire Transfer,2025,4,Apr,2025-04,Q2,Tuesday
TXN-10014,2025-03-21,PROD-108,Standing Executive Desk,Furniture,750.0,Europe,8,0.15,5100.0,Consumer,Wire Transfer,2025,3,Mar,2025-03,Q1,Friday
TXN-10015,2024-06-22,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Latin America,8,0.2,3840.0,Government,Corporate Invoice,2024,6,Jun,2024-06,Q2,Saturday
TXN-10016,2023-10-11,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,North America,5,0.15,2550.0,Enterprise,Credit Card,2023,10,Oct,2023-10,Q4,Wednesday
TXN-10017,2023-11-24,PROD-103,Pro Workstation Laptop,Hardware,1500.0,Middle East & Africa,20,0.15,25500.0,Enterprise,PayPal,2023,11,Nov,2023-11,Q4,Friday
TXN-10018,2025-08-16,PROD-107,Cybersecurity Gateway,Software,1100.0,Middle East & Africa,5,0.1,4950.0,Enterprise,Credit Card,2025,8,Aug,2025-08,Q3,Saturday
TXN-10019,2024-06-30,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,North America,10,0.1,2250.0,Consumer,PayPal,2024,6,Jun,2024-06,Q2,Sunday
TXN-10020,2025-07-18,PROD-103,Pro Workstation Laptop,Hardware,1500.0,Middle East & Africa,1,0.1,1350.0,Small & Medium Business,Credit Card,2025,7,Jul,2025-07,Q3,Friday
TXN-10021,2025-11-05,PROD-105,Ergonomic Desk Chair,Furniture,350.0,Europe,15,0.05,4987.5,Consumer,Wire Transfer,2025,11,Nov,2025-11,Q4,Wednesday
TXN-10022,2025-12-22,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,Asia-Pacific,3,0.2,600.0,Government,Credit Card,2025,12,Dec,2025-12,Q4,Monday
TXN-10023,2025-01-13,PROD-102,AI Analytics License,Software,850.0,Europe,10,0.1,7650.0,Enterprise,Wire Transfer,2025,1,Jan,2025-01,Q1,Monday
TXN-10024,2023-06-11,PROD-110,Server Rack Server X1,Hardware,3200.0,North America,1,0.15,2720.0,Small & Medium Business,Wire Transfer,2023,6,Jun,2023-06,Q2,Sunday
TXN-10025,2023-12-05,PROD-108,Standing Executive Desk,Furniture,750.0,Middle East & Africa,8,0.2,4800.0,Government,Wire Transfer,2023,12,Dec,2023-12,Q4,Tuesday
TXN-10026,2024-02-16,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,Latin America,8,0.1,1800.0,Consumer,PayPal,2024,2,Feb,2024-02,Q1,Friday
TXN-10027,2025-07-13,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,Europe,1,0.05,237.5,Enterprise,Corporate Invoice,2025,7,Jul,2025-07,Q3,Sunday
TXN-10028,2024-04-16,PROD-101,Enterprise Cloud Suite,Software,1200.0,North America,5,0.05,5700.0,Enterprise,Credit Card,2024,4,Apr,2024-04,Q2,Tuesday
TXN-10029,2023-05-19,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,North America,1,0.1,540.0,Small & Medium Business,Corporate Invoice,2023,5,May,2023-05,Q2,Friday
TXN-10030,2024-03-14,PROD-108,Standing Executive Desk,Furniture,750.0,Middle East & Africa,5,0.05,3562.5,Government,Wire Transfer,2024,3,Mar,2024-03,Q1,Thursday
TXN-10031,2025-04-13,PROD-108,Standing Executive Desk,Furniture,750.0,North America,2,0.0,1500.0,Government,Corporate Invoice,2025,4,Apr,2025-04,Q2,Sunday
TXN-10032,2025-04-21,PROD-107,Cybersecurity Gateway,Software,1100.0,North America,4,0.0,4400.0,Enterprise,PayPal,2025,4,Apr,2025-04,Q2,Monday
TXN-10033,2023-08-12,PROD-106,Smart Conference Hub,Electronics,950.0,Europe,2,0.05,1805.0,Government,Wire Transfer,2023,8,Aug,2023-08,Q3,Saturday
TXN-10034,2024-01-11,PROD-107,Cybersecurity Gateway,Software,1100.0,Europe,3,0.15,2805.0,Enterprise,PayPal,2024,1,Jan,2024-01,Q1,Thursday
TXN-10035,2023-07-20,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,North America,1,0.2,200.0,Enterprise,Wire Transfer,2023,7,Jul,2023-07,Q3,Thursday
TXN-10036,2025-04-12,PROD-103,Pro Workstation Laptop,Hardware,1500.0,Europe,4,0.15,5100.0,Government,Credit Card,2025,4,Apr,2025-04,Q2,Saturday
TXN-10037,2025-02-15,PROD-103,Pro Workstation Laptop,Hardware,1500.0,Asia-Pacific,1,0.15,1275.0,Government,Corporate Invoice,2025,2,Feb,2025-02,Q1,Saturday
TXN-10038,2025-09-23,PROD-107,Cybersecurity Gateway,Software,1100.0,Asia-Pacific,2,0.05,2090.0,Small & Medium Business,Credit Card,2025,9,Sep,2025-09,Q3,Tuesday
TXN-10039,2023-05-05,PROD-110,Server Rack Server X1,Hardware,3200.0,North America,8,0.1,23040.0,Enterprise,PayPal,2023,5,May,2023-05,Q2,Friday
TXN-10040,2025-12-23,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,Middle East & Africa,5,0.0,1250.0,Enterprise,Wire Transfer,2025,12,Dec,2025-12,Q4,Tuesday
TXN-10041,2023-05-20,PROD-102,AI Analytics License,Software,850.0,Latin America,8,0.05,6460.0,Enterprise,Wire Transfer,2023,5,May,2023-05,Q2,Saturday
TXN-10042,2023-03-23,PROD-110,Server Rack Server X1,Hardware,3200.0,Latin America,5,0.0,16000.0,Consumer,Corporate Invoice,2023,3,Mar,2023-03,Q1,Thursday
TXN-10043,2024-10-05,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Latin America,2,0.1,1080.0,Small & Medium Business,Corporate Invoice,2024,10,Oct,2024-10,Q4,Saturday
TXN-10044,2024-10-09,PROD-108,Standing Executive Desk,Furniture,750.0,North America,10,0.0,7500.0,Government,Credit Card,2024,10,Oct,2024-10,Q4,Wednesday
TXN-10045,2024-03-12,PROD-102,AI Analytics License,Software,850.0,Europe,5,0.1,3825.0,Consumer,Credit Card,2024,3,Mar,2024-03,Q1,Tuesday
TXN-10046,2025-01-26,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Latin America,3,0.05,1710.0,Consumer,Credit Card,2025,1,Jan,2025-01,Q1,Sunday
TXN-10047,2024-09-05,PROD-109,Wireless Noise-Canceling Headset,Electronics,250.0,Europe,8,0.0,2000.0,Consumer,Credit Card,2024,9,Sep,2024-09,Q3,Thursday
TXN-10048,2023-11-15,PROD-102,AI Analytics License,Software,850.0,Middle East & Africa,8,0.1,6120.0,Small & Medium Business,Corporate Invoice,2023,11,Nov,2023-11,Q4,Wednesday
TXN-10049,2024-06-24,PROD-104,Ultra-Wide Monitor 34,Hardware,600.0,Asia-Pacific,5,0.15,2550.0,Enterprise,Credit Card,2024,6,Jun,2024-06,Q2,Monday
